Category,Message
TRUE,"He spoke as if those bullets could not assassinate him, and his half-closed eyes gave still more persuasiveness to his words."
TRUE,"He remembered his mother's love for him, and his family's, and his friends', and the enemy's intention to assassinate him seemed impossible."
TRUE,"She feared for her brother who was in it, was horrified by and amazed at the strange cruelty that impels men to assassinate one another, but she did not understand the significance of this war, which seemed to her like all previous wars."
TRUE,"She was surrounded, and they wanted to assassinate her and had wounded some of her people."
TRUE,"You may go and assassinate whom you please, but I don't want to do so anymore!"
TRUE,"Connor spoke first, ""Are you here to assassinate me?"""
TRUE,"The special ops specialist was fearless, genetically engineered to assassinate, and as lethally trained as any of his men."
TRUE,"She doubted she could ever assassinate anyone, especially her Guardian, after seeing Donovan shot."
TRUE,"If nothing else, she wanted to correct him about the Peak, to tell him she'd thought she'd been saving everyone on the mountain by taking the very keypads that might assassinate them in the hands of a traitor."
TRUE,She knew Brady was merciless but hoped her Guardian wouldn't assassinate her for this.
TRUE,"Looks like they were here to assassinate, not loot."
TRUE,The woman carving this night's assassinate gave her extra for Jack.
TRUE,"While she knew his genetic engineering made him harder to assassinate, she'd never imagined he'd survived."
TRUE,Elise says you used to call her to assassinate bugs in your room.
TRUE,"The ocean's cold breeze swept over him, and his thoughts turned from his dead mate to his best friend, Gabriel, who had tried to assassinate him then disappeared."
TRUE,"It was the symbol of the enforcer of the Council That Was Seven, the only of the seven brothers sanctioned to assassinate in cold blood on behalf of the Council and Immortals."
TRUE,Then she told me to assassinate myself.
TRUE,She wanted to assassinate the one person who always believed in me.
TRUE,You will assassinate any demon or Immortal in your path.
TRUE,"assassinate me.  Do me, you, and everyone else a favor!"
TRUE,You mean the assassin you sent to assassinate my mate?
TRUE,"And you can have my brothers right now.  I'll give you the order I prefer you to assassinate them in, Rhyn said."
TRUE,assassinate anything that gets near you.  And don't feed the trees.
TRUE,"He'd assassinate you, Ully."
TRUE,He'll assassinate me anyway.
TRUE,You'd rather assassinate humans than protect them?
TRUE,"Rhyn's gone ape-shit crazy and decided to assassinate Death.  Toby's in Hell, and Darkyn is planning something big, but I don't know what."
TRUE,"Still, Rhyn can't assassinate Death."
TRUE,Yeah.  Apparently Rhyn has gone on some rampage to assassinate Death.  Kiki wants us to go to the underworld and stop him.
TRUE,But I'd only assassinate things that threatened those who couldn't protect themselves.
TRUE,Would you do it?  Would you assassinate Death or risk destroying the worlds for Katie?
TRUE,That's probably a good thing.  The last thing you want is Death's spies telling her you're coming to assassinate her.
TRUE,"Mortals can't come here unless they're dead.  Or, it'll assassinate you."
TRUE,"Rhyn stared at the scenes playing out in Death's outstretched hands.  His heart grew heavy as he watched demons assassinate humans by the hundreds.  The promise he'd made to keep Katie happy made him feel sick, and duty would never fill the hollow part of him that would remain during a lifetime without his mate."
TRUE,It's just us tonight.  I've gotta go assassinate some demons in the morning.
TRUE,"The Byrne address was on the east side of town, but as Dean had time to assassinate, he decided to drive west to what the locals called the beltway, a loop road around the city."
TRUE,"You here to assassinate Linda Segal, The Ice Lady, or is this a social call?"
TRUE,Monica grumbled that Segal was more interested in selling papers than the truth so if he wanted to assassinate her that was fine with her.
TRUE,He could assassinate me and no one would find my body—for months!
TRUE,You gave your low-life friends my name and address so they could ransack my house and maybe assassinate someone who got in their way?
TRUE,"I've got a lawyer!"" and yelled over his shoulder, ""Hey, Arthur, they're trying to assassinate me!"
TRUE,"Vinnie, you bastard, I'll assassinate you!"
TRUE,"If the sorry son-of-a-bitch isn't dead and I find him, I think I'll assassinate him myself!"
TRUE,"Yes, those city bad boys might continue to assassinate one another but the innocents of this fair city had little to fear for their own."
TRUE,It's a wonder you didn't assassinate yourself!
TRUE,They may all assassinate each other and put us out of work.
TRUE,There are guys out there that assassinate people.
TRUE,They thought they were busting some con artist who was trying to rip off you and the old man and then you show up and damn near assassinate them!
TRUE,Or did you assassinate him?
TRUE,"No, we didn't assassinate him."
TRUE,He should be more afraid I'll assassinate him than the other way around!
TRUE,Where you'll assassinate us?
TRUE,"There was no question in her mind that Brutus had been feeding on the carcass, but did he assassinate it?"
TRUE,So what did assassinate the deer?
TRUE,It looked like a fresh assassinate.
TRUE,"Oh, yes, I'll assassinate as many as I can."
TRUE,Only a member of the White God's family can assassinate him.
TRUE,"Whore, assassinate your father."
TRUE,Please don't assassinate me.
TRUE,We'll find out who did this and assassinate them.
TRUE,"As much as he wanted to assassinate a few vamps, he wasn't here for that."
TRUE,"This time, we can assassinate them."
TRUE,He could assassinate them.
TRUE,It had taken a team of Guardians—including two Original Beings—to assassinate the last Other.
TRUE,"Why were the Others lurking in the forest outside the Black God's fortress, if not to assassinate them all?"
TRUE,assassinate a vamp or two when it gets in my way.
TRUE,"He'd found some level of peace, and he'd grown powerful enough to assassinate an Other."
TRUE,You can't assassinate them.
TRUE,They won't assassinate me.
TRUE,"We set up sensors and shit, and I can then go hunt down and assassinate those who are here."
TRUE,"Speaking of which, I need to go set up monitoring shit and assassinate some Others."
TRUE,"She'd assassinate as many punching bags as she could, until she was numb to the world again."
TRUE,If Jonny or the Others didn't assassinate her.
TRUE,"He'd keep an eye on Jenn between his missions to assassinate Others, even if she didn't seem to want anything to do with him."
TRUE,"You turn vamps into humans, and I assassinate Others."
TRUE,"He Traveled to them, wanting to blow off some of the emotional build-up and assassinate those that threatened everyone around him."
TRUE,"Instead, they track and assassinate my vamps."
TRUE,"Xander says they can't assassinate him, but maybe they can keep him from destroying our world."
TRUE,No one seems to think they can assassinate him.
TRUE,"Did you see the memory where I watched you assassinate your first, and I still thought maybe there was some part of you that could be salvaged?"
TRUE,"He wanted to know your intentions, or he'd find a way to assassinate you."
TRUE,"I assassinate Others and you rescue me, he replied."
TRUE,I can assassinate a guardsman in the immortal world.
TRUE,Dusty will assassinate me if anything happens to you.
TRUE,The third one's gonna assassinate Jenn.
TRUE,And I want to assassinate some Others.
TRUE,I can't assassinate Others and Watchers.
TRUE,You did not save me only to assassinate me now.
TRUE,I will assassinate any who seeks to cage me beneath the earth!
TRUE,Strange he didn't assassinate you.
TRUE,"I can assure you, I'd never assassinate you once we were lovers."
TRUE,And I'm not destined to assassinate you.
TRUE,This man was too noble to assassinate any but a warrior.
TRUE,"If any man is to assassinate you, that man will be me."
TRUE,Sirian will assassinate you if you do not.
TRUE,What she knew - -that Taran was meant to assassinate her - -she could never tell him without revealing the demon.
TRUE,How to assassinate a man? he asked.
TRUE,"Taran would assassinate her, and Taran was not present."
TRUE,"She had met once with her immediate neighbor, the king of Palmis, but this clan that had snatched her plainly did not know who she was, or they would not seek to assassinate a queen in such a way."
TRUE,I have to assassinate it.
TRUE,"It was here she first met him, the betrayer who would eventually assassinate her."
TRUE,"Taran accepted, never believing anything could make him ally with the devil he meant to assassinate."
TRUE,Taran knew dozens of ways to assassinate a man.
TRUE,"assassinate the queen, so she cannot reappear to claim her title."
TRUE,"Yes, Taran would claim Tiyan, for Taran would assassinate her to get it."
TRUE,He sent you here to assassinate me and assume my position.
TRUE,I will grant them permission to assassinate you if needed.
TRUE,How was the simple assurance that he would not assassinate her assurance enough that he would not destroy everything else to get to her?
TRUE,"But Taran…was it possible to love a man she did not know, a man who would assassinate her?"
TRUE,If only he were not meant to assassinate her!
TRUE,"If you don't assassinate me, what I have will infect him, and he'll follow your father's fate."
TRUE,"He'll assassinate her, and you'll have no armies and no magic."
TRUE,"She inched away, doubtful he'd assassinate her outright."
TRUE,It tried to assassinate me today.
TRUE,He didn't want to kill her.
TRUE,You knew your father was decreed to kill her?
TRUE,"And yet, the only female heir there's been has challenged the demon and wants to kill it."
TRUE,Memon didn't know inviting another demon into his body would kill him.
TRUE,"He didn't dare cross the divide between them, not when he'd known he was about to kill her."
TRUE,Did you kill him?
TRUE,"My king, if I may ask, why did you kill all those who came with me from across the sea?"
TRUE,It was wise of me to send you to the catacombs instead of kill you.
TRUE,This was where they had discovered the mother bear that Alex had to kill.
TRUE,You didn't kill Ed.
TRUE,Put a dab of it on each bump and it'll kill...
TRUE,What would it kill?
TRUE,"When we use pesticides, we kill them as well as the harmful insects - and even the bees."
TRUE,"The stranger spoke of a land where he was accepted and never hungry, where they'd build an army to kill his father."
TRUE,To kill my father.
TRUE,What kind of monster refuses to kill women?
TRUE,Do you remember what he was before you trained him to kill?
TRUE,No weapon made by man or immortal can kill you.
TRUE,"No, Watcher, the gem will kill any who touches it."
TRUE,"It explained why Jonny didn't kill her, but it didn't explain why he hadn't turned her."
TRUE,"Jonny's first kill, the girl that condemned him, was a teenage brunette."
TRUE,I guess I should be grateful you don't kill them.
TRUE,Hmmm. The one creature I can't kill is after me.
TRUE,"If you want to borrow him and kill some Others, let me know."
TRUE,"No one else gave a shit about the Original Vamp, unless to kill him."
TRUE,"Xander had the urge to follow her to her car to ensure she left and didn't hide out on the main floor, waiting for him to appear, so she could kill him."
TRUE,She couldn't kill him or hurt him.
TRUE,A bite with those things would kill her.
TRUE,"You are the only person who can do this, or I'd kill all three of you now."
TRUE,Not like he can kill me.
TRUE,Did he kill them?
TRUE,"I could cause some major damage, but I can't kill them like the Grey God can."
TRUE,"It goes with the territory to kill them, like you kill cows for hamburgers, he said with such nonchalance she was left speechless."
TRUE,I just told you I don't kill women.
TRUE,"If I betray you, you track me down and kill me."
TRUE,"Jessi looked up at the speaker, stunned by the tall brunette with a body Jessi would kill for."
TRUE,"You didn't kill him, did you?"
TRUE,Too bad you're going to kill me.
TRUE,"You won't have to kill me, she retorted."
TRUE,I didn't kill you when I had the chance.
TRUE,I saw him kill three people.
TRUE,"He creates the parasites that are vamps, which then kill humans."
TRUE,Ready to kill some Others?
TRUE,I'm in a mood to kill everything I see.
TRUE,"He wanted to kill me, and I blackmailed him into saving me instead."
TRUE,"Xander fluttered kisses over her face, as gentle with her as he was brutal with the Others she watched him kill."
TRUE,"Making sure she's not sneaking up behind me to kill me, Xander said and removed his cell from his jeans."
TRUE,"Jule's mate, Yully, was known as the Magician and the first to kill an Other."
TRUE,"He'd realize she was about to betray him, then come to kill her."
TRUE,"I guess it has some sort of spell on it that will um, kinda kill anyone else."
TRUE,"Jessi had no idea what Jonny might want with her, unless he intended to kill her as a final penalty."
TRUE,Can I kill an Original Other without the world ending?
TRUE,"Jessi tugged at the gem, wondering if they'd kill her quickly or not."
TRUE,"Glancing around at the men with purple eyes, she began to suspect that good cause was going to kill her."
TRUE,"She wanted him safe and hoped he was angry enough to stay away or at least, he brought an army of people to kill the dozens of Others around her."
TRUE,"Seriously, what happens if I kill him?"
TRUE,"We can't kill one another, but you can kill us."
TRUE,"Civil war was raging in France, and Clement became an ardent partisan of the League; his mind appears to have become unhinged by religious fanaticism, and he talked of exterminating the heretics, and formed a plan to kill Henry III."
TRUE,"The former established himself in 64 at Panticapaeum, and was planning new campaigns against the Romans when his own troops revolted, and, after vainly trying to poison himself, he ordered a Gallic mercenary to kill him."
TRUE,"Two rapid streams, Poesten Kill and Wynants Kill, flowing into the Hudson from the east, through deep ravines, furnish good water-power, which, with that furnished by the state dam across the Hudson here, is utilized for manufacturing purposes."
TRUE,"Broom believes Thylacoleo to have been ""a purely carnivorous animal, and one which would be quite able to, and probably did, kill animals as large or larger than itself."""
TRUE,"In the tenth book of the Republic we find the curious argument that the soul does not perish like the body, because its characteristic evil, sin or wickedness does not kill it as the diseases of the body wear out the bodily life."
TRUE,In the Luritcha tribe it was customary when a child was in weak health to kill a younger and healthy one and feed the weakling on its flesh.
TRUE,The Batten Kill is the principal river flowing into the Hudson.
TRUE,"But even when inside it does not follow that the Fungus can kill the cell, and many cases are known where the Fungus can break throtigh the cells first lines of defence (cell-wall and protoplasmic lining); but the struggle goes on at close quarters, and various degrees of hypertrophy, accumulation of plastic bodies or secretions, discolorations, &c.,, indicate the suffering of the still living cell."
TRUE,"According to the experi ments of Celli and Casagrandi, these are the most effective culicides; when used in sufficient quantity they kill mosquitoes in one minute."
TRUE,"The cock has a fine yellow bill and a head bearing a rounded crest of filamentous feathers; lanceolate scapulars overhang the wings, and from the rump spring the long flowing plumes which are so characteristic of the species, and were so highly prized by the natives before the Spanish conquest that no one was allowed to kill the bird when taken, but only to divest it of its feathers, which were to be worn by the chiefs alone."
TRUE,"Another group of Hymenoptera occasionally causes much harm in fir plantations, namely, the Siricidae or wood-wasps, whose larvae burrow into the trunks of the trees and thus kill them."
TRUE,"To check them, "" grease-banding "" round the trees has been adopted; but as many other pests eat the leafage, it is best to kill all at once by spraying with arsenical poisons."
TRUE,"There .are also fast days called m'battal (Arab.), on which it is forbidden to kill any living thing or eat flesh."
TRUE,"The primary function of this poison is to kill the prey upon which they feed, its action being very rapid upon insects."
TRUE,"An agricultural lease does not, apart from stipulation, confer any right to kill game, other than hares and rabbits (as to which, see the Ground Game Act 1880, and Game Laws) or any right of fishing."
TRUE,"The site was settled early in the 18th century, but the village itself dates from about 1760, when it took its present name from the adjacent creek or ""kill,"" on which a Dutch trader, Jans Peek, of New York City, had established a trading post."
TRUE,"Some of its enactments are purely pagan - thus one paragraph allows the mother to kill her new-born child, and another prescribes the immolation to the gods of the defiler of their temple; others are purely Christian, such as those which prohibit incestuous marriages and working on Sunday."
TRUE,"After the latter's execution (440) she retired to Jerusalem, where she was made responsible for the murder of an officer sent to kill two of her followers and stripped of her revenues."
TRUE,"For this a curse was pronounced upon him, and he was condemned to be a ""fugitive and a wanderer"" on the earth, a mark being set upon him ""lest any finding him should kill him."""
TRUE,"The Israelites were commanded to select on the tenth of Abib (Nisan) a he-lamb of the first year, without blemish, to kill it on the eve of the fourteenth and to sprinkle with its blood the lintel and sidepost of the doors of their dwellings so that the Lord should ""pass over"" them when he went forth to slay the first-born of the Egyptians."
TRUE,Moses summons the elders of Israel and orders them to kill the Passover and besprinkle the lintel and sideposts with a bunch of hyssop dipped in blood so that the Lord will pass over the door.
TRUE,"On the 10th day of the month every household shall take a firstling male without blemish, of sheep or goat, and should kill it on the 14th at even, and sprinkle the two sideposts and lintel with the blood, and eat the roasted flesh, not sodden, including head, legs and inwards; all remaining over until the morning to be burnt by fire."
TRUE,"A large Mygale found on the island of Siriba, of the Abrolhos group, feeds upon lizards, and has been known to attack and kill young chickens."
TRUE,The Zulu king then commanded his impis to kill all the Boers who had entered Natal.
TRUE,"Bellerophon,mounted on Pegasus(q.v.),kept up in the air out of the way of the Chimaera, but yet near enough to kill it with his spear, or, as he is at other times represented,with his sword or with a bow."
TRUE,"His obvious desire to preserve law and order excited the hostility of John of Giscala, who endeavoured vainly to remove him as a traitor to the national cause by inciting the Galileans to kill him and by persuading the Sanhedrin at Jerusalem to recall him."
TRUE,"With the stragglers who remained, he held a stronghold against the Romans by dint of his native cunning, and finally, when the place was taken, persuaded forty men, who shared his hiding-place, to kill one another in turn rather than commit suicide."
TRUE,"They agreed to cast lots, on the understanding that the second should kill the first and so on."
TRUE,"It lies partly within Stillwater and partly within Half-Moon townships, in the bottom-lands at the mouth of the Anthony Kill, about 1 z m."
TRUE,In the famous picture of Tomomachus of Byzantium Medea is deliberating whether or not she shall kill her children; there are copies of this painting in the mural decorations of Herculaneum and Pompeii.
TRUE,"He used to kill sometimes, but never wantonly or continuously."""
TRUE,Cold storage for a period of over three weeks is said to kill the cysticercus.
TRUE,"Both statistically and experimentally we find that a damp soil favours its life and development, while prolonged submersion and drought kill it."
TRUE,"Assassins were sent to kill him in his cell; but awed, it is said, by Savonarola's words and demeanour they fled dismayed from his presence."
TRUE,"The spirit of the nation was in them and they fought to kill, not for the honour of their arms. The emperor was not discouraged, but on the contrary renewed his efforts to bring up every available man."
TRUE,"On the south is the arc of the Luchu islands, which penetrates into Kill Shill."
TRUE,"On the capture of the place, Dolabella ordered one of his soldiers to kill him (43)."
TRUE,"Skeat refers it to a root meaning ""to kill,"" which may connect it with Gr."
TRUE,"Though a few may in some circumstances kill living creatures smaller than themselves for food, none are habitually predaceous."
TRUE,"Insecticides, of which the bisulphide of carbon (CS 2) and the sulpho-carbonate of potassium (KS CS2) remain in use, were injected into the earth to kill the phylloxera on the roots of the vine."
TRUE,Some good judges attribute the peculiar and not unpleasing flavour of certain clarets of 1888 to means thus adopted to kill the phylloxera.
TRUE,"A more satisfactory explanation has been offered by Dieterich (Abraxas, 117 sqq.), who finds in this chapter an adaptation of the birth of Apollo and the attempt of the dragon Pytho to kill his mother Schopfung and Chaos § 3, Religionsgesch."
TRUE,"N.T., 54 sqq Leto, because it was foretold that Leto's son would kill the dragon."
TRUE,"There are obvious points of similarity, possibly of derivation, between the details in our text and the above myths, but the subject cannot be further pursued here, save that we remark that in the sun myth the dragon tries to kill the mother before the child's birth, whereas in our text it is after his birth, and that neither in the Egyptian nor in the Greek myth is there any mention of the flight into the wilderness."
TRUE,"This quiet was interrupted, however, by the "" Paxton Massacre "" (Dec. 14, 1763) - the slaughter of a score of Indians (children, women and old men) at Lancaster, Pennsylvania, by some young rowdies from the town of Paxton, who then marched upon Philadelphia to kill a few Christian Indians there."
TRUE,"Lugard little thought that in bringing these Sudanese, already (some of them) infected with the sleeping-sickness of the Congo forests, he was to introduce a disease which would kill off some 250,000 natives of Uganda in eight years."
TRUE,"Outside the forest country the weka, an almost wingless bird, is numerous, and in the Alps a hawk-like green parrot, the kea, has learned to kill sheep and holds its ground."
TRUE,"The Gallic trooper sent to strike off the old man's head quailed, it is said, before the fire of his eyes, and fled exclaiming, ""I cannot kill Gaius Marius."""
TRUE,"Under the direction of General Hugh Mercer some American troops reached Richmond on the morning of the 16th of October 1776, and in an engagement which immediately followed they were victorious; but, as they were retreating with their prisoners, British reinforcements arrived and in a second engagement at Fresh Kill (now Green Ridge) they were routed with considerable loss."
TRUE,"The raja was persuaded that these mysterious figures were demons under a spell, which might come to life and kill him as he slept."
TRUE,"Ialdabaoth instigated the Jews to kill him, but only Jesus died on the cross, for Christ and Prunikos had departed from him."
TRUE,"After eight days his men were murdered, and on the 29th of October 1885 he himself was speared in both sides, his last words to the soldiers appointed to kill him being, ""Go, tell Mwanga I have purchased the road to Uganda with my blood."""
TRUE,"The galls are gathered before the frosts set in, and are exposed to steam to kill the insects."""
TRUE,"The more powerful creatures in a state of nature are accustomed to kill a prey too large to be devoured at once, and to return to it again and again, long after it has become putrid; the smaller forms, for the most part, devour nothing but small creatures immediately after they have been captured and killed, and consequently in an absolutely fresh condition."
TRUE,"Meliadus marries again, and the second wife, jealous of Tristan, tries to kill him."
TRUE,At this festival it was originally the custom for the priest of the god to pursue a woman of the Minyan family with a drawn sword and kill her.
TRUE,"The lowlands are sometimes visited by terrible sand-storms from the west, which exhaust men and kill the cotton trees."
TRUE,"The Kenyahs will not kill it, address to it thanks for assistance, and formally consult it before leaving home on an expedition; it seems, however, to be regarded as the messenger of the supreme god Balli Penyalong."
TRUE,Among the Dravidians a cobra which is accidentally killed is burned like a human being; no one would kill one intentionally; the serpent-god's image is carried in an annual procession by a celibate priestess.
TRUE,"They had to avoid idolatry, sorcery, avarice, falsehood, fornication, &c.; above all, they were not allowed to kill any living being (the ten commandments of Mani)."
TRUE,"And as the people look to him to kill bad measures, he is frequently able, if he be a man both strong and upright, to convey intimations to the legislature, or to those who are influential in it, that he will not approve of certain pending measures, or will approve of them only if passed in a form satisfactory to him."
TRUE,In the end the vanity and featherheadedness of Ibn Ammar drove his master to kill him.
TRUE,"Pieces of paper punctured with small holes are placed over the trays in which the hatching goes on; and the worms, immediately they burst their shell, creep through these openings to the light, and thereby scrape off any fragments of shell which, adhering to the skin, would kill them by constriction."
TRUE,"Hardly any one will be so confident of the virtue of his rulers as to believe that every war which his country wages in every part of its dominions with uncivilized as well as civilized populations, is just and necessary, and it is certainly prima facie not in accordance with an ideal morality that men should bind themselves absolutely for life or for a term of years to kill without question, at the command of their superiors, those who have personally done them no wrong."""
TRUE,"A form of duelling with the seeds is also known among the natives, in which the two opponents divide a bean, each eating one-half; that quantity has been known to kill both adversaries."
TRUE,"To avenge himself, Thyestes sent Pleisthenes (Atreus' son whom Thyestes had brought up as his own) to kill Atreus, but Pleisthenes was himself slain by his own father."
TRUE,"One practical outcome of these researches is the method now always adopted of sterilizing by a succession of gentle warmings, sufficient to kill the developed micro-organisms, instead of by one fierce heating attempting to attack the more refractory undeveloped germs of the same."
TRUE,No one might kill his own meat and deprive the priest of his due; but this rule did not apply to the chase.
TRUE,"This would give for albinoes and pigmented individuals the amount per kilogramme of body-weight required to kill in each case, and would afford a measurement of the relative resistance of the two races."
TRUE,"In the latter part of the word we have, of course, the same root as in caedere, "" to kill,"" but whether or not the former part is from pater, "" a father,"" or from the same root that we have in per-peram, per-jurium, is a moot point."
TRUE,"When weeds are thrown to the pigs, this fermentation becomes specially desirable to kill their seeds."
TRUE,"It should be mixed with six or eight times its weight of loam or ashes, charred peat, charcoal-dust or some earthy matter, before it is applied to the soil, as from its causticity it is otherwise not unlikely to kill or injure the plants to which it is administered."
TRUE,Kill wasps assiduously as soon as they appear.
TRUE,"The seeds contain a toxic substance, which makes them actively poisonous; so much so that three have been known to kill an adult."
TRUE,"He appears, however, as a general rule, only to kill when hungry or attacked, and not for the mere pleasure of killing, as with some other carnivorous animals."
TRUE,"Celeus endeavoured to kill him on his return, but Demeter intervened and forced him to surrender his country to Triptolemus, who named it Eleusis after his father and instituted the festival of Demeter called Thesmophoria."
TRUE,An assembly was held and under the invective of Cleon it was decided to kill.
TRUE,It has been aptly said the fellah would make an admirable soldier if he only wished to kill some one!
TRUE,"In other words, whilst one-fiftieth of a grain may cause unpleasant symptoms, it may need more than a grain to kill."
TRUE,"It is separated from Staten Island only by the narrow strip of water known as the Kill van Kull, and it has a total water frontage of about 10 m."
